1,283
2,334
3,134
4,450
5,467
6,234
7,678
8,134
9,412
10,745
11,230
12,490
13,599
14,498
15,934
16,555
17,677
18,1716
19,1602
20,5876
21,921
22,698
23,486
24,867
25,574
26,1004
27,403
28,1208
29,594
30,933
31,489
32,557
33,1049
34,622
35,870
36,894
37,1177
38,590
39,255
40,150
41,3585
42,925
43,439
44,2473
45,959
46,702
47,1300
48,500
49,501
50,443
51,8129
52,1570
53,3633
54,2109
55,3118
56,1431
57,479
58,3699
59,6738
60,3995
61,1075
62,781
63,1633
64,1246
65,674
66,515
67,794
68,323
69,939
70,759
71,575
72,1230
73,3019
74,1378
75,476
76,2800
77,1794
78,1027
79,1090
80,372
